Date,Temperature (C),Total Volume (Ton),USDTRY,Tüccar(Trader)(Ton),Tariş(Taris Coop)(Ton),ÇEKİRDEKSİZ KURU ÜZÜM,11 (+),11 (Std.),11 (-),10 (+),10 (Std.),10 (-),9 (+),9 (Std.),9 (-),8 (+),8 (Std.),8 (-),7 (+),7 (Std.),7 (-),Bandırmasız,Bandırmasız (-),Bandırmasız (Eski Mahsül)
2022-10-31,11.93,60,18.6,60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,21.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-18,14.82,75,18.58,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-24,13.22,25,18.6,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,12.2,55,18.62,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-07,9.82,50,18.62,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-09,18.14,50,18.64,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12,15.16,70,18.64,70,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14,11.98,50,18.63,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19,8.82,30,18.63,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20,7.82,40,18.64,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0
2022-12-29,10.38,25,18.72,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03,10.65,30,18.7,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-04,9.56,30,18.72,30,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10,15.82,75,18.75,75,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,9.96,25,18.78,25,0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-17,15.82,80,18.79,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,23.5,0.0,0.0,0.0,21.5,0.0,0.0,0.0
2023-01-24,13.81,80,18.78,80,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.75,23.0,0.0,22.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-26,8.82,55,18.79,55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-16,11.82,20,18.83,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2023-02-21,12.93,40,18.85,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
2023-02-28,16.82,25,18.87,25,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-07,14.82,50,18.9,50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,22.0,0.0,21.5,0.0,0.0,0.0,0.0
2023-03-20,18.82,65,19.02,65,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-13,32.74,85,26.9,85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-14,32.82,25,26.93,25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
